"","title","title_type","genre","runtime","mpaa_rating","studio","thtr_rel_year","thtr_rel_month","thtr_rel_day","dvd_rel_year","dvd_rel_month","dvd_rel_day","imdb_rating","imdb_num_votes","critics_rating","critics_score","audience_rating","audience_score","best_pic_nom","best_pic_win","best_actor_win","best_actress_win","best_dir_win","top200_box","director","actor1","actor2","actor3","actor4","actor5"
"1","Filly Brown","Feature Film","Drama",80,"R","Indomina Media Inc.",2013,4,19,2013,7,30,5.5,899,"Rotten",45,"Upright",73,"no","no","no","no","no","no","Michael D. Olmos","Gina Rodriguez","Jenni Rivera","Lou Diamond Phillips","Emilio Rivera","Joseph Julian Soria"
"2","The Dish","Feature Film","Drama",101,"PG-13","Warner Bros. Pictures",2001,3,14,2001,8,28,7.3,12285,"Certified Fresh",96,"Upright",81,"no","no","no","no","no","no","Rob Sitch","Sam Neill","Kevin Harrington","Patrick Warburton","Tom Long","Genevieve Mooy"
"3","Waiting for Guffman","Feature Film","Comedy",84,"R","Sony Pictures Classics",1996,8,21,2001,8,21,7.6,22381,"Certified Fresh",91,"Upright",91,"no","no","no","no","no","no","Christopher Guest","Christopher Guest","Catherine O'Hara","Parker Posey","Eugene Levy","Bob Balaban"
"4","The Age of Innocence","Feature Film","Drama",139,"PG","Columbia Pictures",1993,10,1,2001,11,6,7.2,35096,"Certified Fresh",80,"Upright",76,"no","no","yes","no","yes","no","Martin Scorsese","Daniel Day-Lewis","Michelle Pfeiffer","Winona Ryder","Richard E. Grant","Alec McCowen"
"5","Malevolence","Feature Film","Horror",90,"R","Anchor Bay Entertainment",2004,9,10,2005,4,19,5.1,2386,"Rotten",33,"Spilled",27,"no","no","no","no","no","no","Stevan Mena","Samantha Dark","R. Brandon Johnson","Brandon Johnson","Heather Magee","Richard Glover"
"6","Old Partner","Documentary","Documentary",78,"Unrated","Shcalo Media Group",2009,1,15,2010,4,20,7.8,333,"Fresh",91,"Upright",86,"no","no","no","no","no","no","Chung-ryoul Lee","Choi Won-kyun","Lee Sam-soon","Moo",NA,NA
"7","Lady Jane","Feature Film","Drama",142,"PG-13","Paramount Home Video",1986,1,1,2003,2,18,7.2,5016,"Rotten",57,"Upright",76,"no","no","no","no","no","no","Trevor Nunn","Cary Elwes","John Wood","Michael Hordern","Jill Bennett II","Helena Bonham Carter"
"8","Mad Dog Time","Feature Film","Drama",93,"R","MGM/United Artists",1996,11,8,2004,3,2,5.5,2272,"Rotten",17,"Spilled",47,"no","no","yes","no","no","no","Larry Bishop","Richard Dreyfuss","Jeff Goldblum","Gabriel Byrne","Ellen Barkin","Diane Lane"
"9","Beauty Is Embarrassing","Documentary","Documentary",88,"Unrated","Independent Pictures",2012,9,7,2013,1,21,7.5,880,"Fresh",90,"Upright",89,"no","no","no","no","no","no","Neil Berkeley","Paul Reubens","Matt Groening","Todd Oldham","Jonathan Dayton","Cliff Benjamin"
"10","The Snowtown Murders","Feature Film","Drama",119,"Unrated","IFC Films",2012,3,2,2012,8,14,6.6,12496,"Certified Fresh",83,"Upright",66,"no","no","no","no","no","no","Justin Kurzel","Lucas Pittaway","Daniel Henshall","Louise Harris","Craig Coyne","Richard Green"
"11","Superman II","Feature Film","Action & Adventure",127,"PG","Warner Bros. Pictures",1981,6,19,2001,5,1,6.8,71979,"Certified Fresh",89,"Upright",75,"no","no","yes","no","no","yes","Richard Lester","Christopher Reeve","Gene Hackman","Margot Kidder","Ned Beatty","Jackie Cooper"
"12","Leap of Faith","Feature Film","Drama",108,"PG-13","Paramount Home Video",1992,12,18,2003,9,23,6,9669,"Fresh",67,"Spilled",46,"no","no","no","no","no","no","Richard Pearce","Steve Martin","Debra Winger","Lolita Davidovich","Liam Neeson","Lukas Haas"
"13","The Royal Tenenbaums","Feature Film","Comedy",110,"R","Buena Vista Distribution Compa",2002,1,4,2002,7,9,7.6,201779,"Certified Fresh",80,"Upright",89,"no","no","yes","yes","no","no","Wes Anderson","Gene Hackman","Anjelica Huston","Gwyneth Paltrow","Ben Stiller","Luke Wilson"
"14","School for Scoundrels","Feature Film","Comedy",100,"PG-13","MGM",2006,9,23,2007,2,13,5.9,25808,"Rotten",25,"Spilled",53,"no","no","no","no","no","no","Todd Phillips","Billy Bob Thornton","Jon Heder","Jacinda Barrett","Michael Clarke Duncan","Horatio Sanz"
