TL,TM,TR,ML,MM,MR,BL,BM,BR,class
x,x,x,x,o,o,x,o,o,True
x,x,x,x,o,o,o,x,o,True
x,x,x,x,o,o,o,o,x,True
x,x,x,x,o,o,o,b,b,True
x,x,x,x,o,o,b,o,b,True
x,x,x,x,o,o,b,b,o,True
x,x,x,x,o,b,o,o,b,True
x,x,x,x,o,b,o,b,o,True
x,x,x,x,o,b,b,o,o,True
x,x,x,x,b,o,o,o,b,True
x,x,x,x,b,o,o,b,o,True
x,x,x,x,b,o,b,o,o,True
x,x,x,o,x,o,x,o,o,True
x,x,x,o,x,o,o,x,o,True
x,x,x,o,x,o,o,o,x,True
x,x,x,o,x,o,o,b,b,True
x,x,x,o,x,o,b,o,b,True
x,x,x,o,x,o,b,b,o,True
x,x,x,o,x,b,o,o,b,True
x,x,x,o,x,b,o,b,o,True
x,x,x,o,x,b,b,o,o,True
x,x,x,o,o,x,x,o,o,True
x,x,x,o,o,x,o,x,o,True
x,x,x,o,o,x,o,o,x,True
x,x,x,o,o,x,o,b,b,True
x,x,x,o,o,x,b,o,b,True
x,x,x,o,o,x,b,b,o,True
x,x,x,o,o,b,x,o,b,True
x,x,x,o,o,b,x,b,o,True
x,x,x,o,o,b,o,x,b,True
x,x,x,o,o,b,o,b,x,True
x,x,x,o,o,b,b,x,o,True
x,x,x,o,o,b,b,o,x,True
x,x,x,o,o,b,b,b,b,True
x,x,x,o,b,x,o,o,b,True
x,x,x,o,b,x,o,b,o,True
x,x,x,o,b,x,b,o,o,True
x,x,x,o,b,o,x,o,b,True
x,x,x,o,b,o,x,b,o,True
x,x,x,o,b,o,o,x,b,True
x,x,x,o,b,o,o,b,x,True
x,x,x,o,b,o,b,x,o,True
x,x,x,o,b,o,b,o,x,True
x,x,x,o,b,o,b,b,b,True
x,x,x,o,b,b,x,o,o,True
x,x,x,o,b,b,o,x,o,True
x,x,x,o,b,b,o,o,x,True
x,x,x,o,b,b,o,b,b,True
x,x,x,o,b,b,b,o,b,True
x,x,x,o,b,b,b,b,o,True
x,x,x,b,x,o,o,o,b,True
x,x,x,b,x,o,o,b,o,True
x,x,x,b,x,o,b,o,o,True
x,x,x,b,o,x,o,o,b,True
x,x,x,b,o,x,o,b,o,True
x,x,x,b,o,x,b,o,o,True
x,x,x,b,o,o,x,o,b,True
x,x,x,b,o,o,x,b,o,True
x,x,x,b,o,o,o,x,b,True
x,x,x,b,o,o,o,b,x,True
x,x,x,b,o,o,b,x,o,True
x,x,x,b,o,o,b,o,x,True
x,x,x,b,o,o,b,b,b,True
x,x,x,b,o,b,x,o,o,True
x,x,x,b,o,b,o,x,o,True
x,x,x,b,o,b,o,o,x,True
x,x,x,b,o,b,o,b,b,True
x,x,x,b,o,b,b,o,b,True
x,x,x,b,o,b,b,b,o,True
